RefDes     X          Y          Rot.       Exact     (FREE)    Side
C1         1172.5000  3700.0000  270        EXACT     (FREE)    Top                           
C2         1172.5000  3400.0000  270        EXACT     (FREE)    Top                           
C3         1172.5000  3100.0000  270        EXACT     (FREE)    Top                           
C4         1182.5000  2810.0000  270        EXACT     (FREE)    Top                           
C5         1182.5000  2510.0000  270        EXACT     (FREE)    Top                           
C6         1182.5000  2210.0000  270        EXACT     (FREE)    Top                           
C7         1182.5000  1910.0000  270        EXACT     (FREE)    Top                           
C8         1182.5000  1610.0000  270        EXACT     (FREE)    Top                           
C9         1182.5000  1310.0000  270        EXACT     (FREE)    Top                           
C10        1182.5000  1010.0000  270        EXACT     (FREE)    Top                           
C11        1182.5000  710.0000   270        EXACT     (FREE)    Top                           
C12        1182.5000  410.0000   270        EXACT     (FREE)    Top                           
C13        1192.5000  210.0000   000        EXACT     (FREE)    Top                           
C14        1957.5000  2210.0000  000        EXACT     (FREE)    Top                           
C15        1957.5000  2070.0000  000        EXACT     (FREE)    Top                           
C16        1957.5000  2140.0000  000        EXACT     (FREE)    Top                           
C17        830.0000   6770.0000  000        EXACT     (FREE)    Top                           
C18        1270.0000  6770.0000  000        EXACT     (FREE)    Top                           
C19        1270.0000  6670.0000  000        EXACT     (FREE)    Top                           
C20        1190.0000  6485.0000  270        EXACT     (FREE)    Top                           
C21        1192.5000  6180.0000  270        EXACT     (FREE)    Top                           
C22        1192.5000  5880.0000  270        EXACT     (FREE)    Top                           
C23        1192.5000  5580.0000  270        EXACT     (FREE)    Top                           
C24        1192.5000  5280.0000  270        EXACT     (FREE)    Top                           
C25        1192.5000  4980.0000  270        EXACT     (FREE)    Top                           
C26        1192.5000  4680.0000  270        EXACT     (FREE)    Top                           
C27        1192.5000  4380.0000  270        EXACT     (FREE)    Top                           
C28        1192.5000  4080.0000  270        EXACT     (FREE)    Top                           
C29        1192.5000  3920.0000  000        EXACT     (FREE)    Top                           
C30        1942.5000  5850.0000  000        EXACT     (FREE)    Top                           
C31        1942.5000  5710.0000  000        EXACT     (FREE)    Top                           
C32        1942.5000  5780.0000  000        EXACT     (FREE)    Top                           
C33        2172.5000  1677.9691  000        EXACT     (FREE)    Top                           
C34        1575.0000  6825.0000  180        EXACT     (FREE)    Top                           
