Drill Listing
=============
Drill: .005  Tool: 1  Feed: 0  Speed: 0
X 134000  Y 151000
X 165000  Y 121000
X 210250  Y 123000
X 215500  Y 133000
X 218250  Y 150000
X 226000  Y 121000
X 245000  Y 152000
X 250000  Y 152000
X 255800  Y 154200
X 269000  Y 147000
X 277000  Y 148500
X 311000  Y 154000
X 320000  Y 119000
X 326500  Y 115000
X 326500  Y 108500
X 351000  Y 115000
X 359000  Y 105000
X 373000  Y 121500
X 397000  Y 118500
X 410000  Y 128000
X 412000  Y 142500
X 445500  Y 150000
X 400500  Y 191000
X 396500  Y 193000
X 394000  Y 186200
X 385500  Y 195900
X 384000  Y 184000
X 382000  Y 193000
X 357500  Y 194000
X 350000  Y 191500
X 345400  Y 198800
X 311300  Y 157000
X 259500  Y 160000
X 254000  Y 157000
X 218250  Y 160000
X 218250  Y 181000
X 218250  Y 190000
X 136500  Y 180000
X 129500  Y 210000
X 218250  Y 211000
X 218250  Y 221000
X 340300  Y 228200
X 346200  Y 217150
X 346200  Y 212150
X 348800  Y 222600
X 351200  Y 217150
X 352700  Y 225500
X 354500  Y 215500
X 358100  Y 225500
X 379800  Y 224500
X 393400  Y 208400
X 393400  Y 218400
X 393400  Y 228400
X 403400  Y 218400
X 403400  Y 208400
X 413400  Y 208400
X 423400  Y 208400
X 433400  Y 208400
X 433400  Y 218400
X 443400  Y 208400
X 443400  Y 228400
X 443400  Y 218400
X 443400  Y 248400
X 443400  Y 238400
X 433400  Y 248400
X 403400  Y 248400
X 393400  Y 248400
X 393400  Y 238400
X 383500  Y 250500
X 367500  Y 241500
X 367000  Y 252000
X 347250  Y 234000
X 333250  Y 231000
X 331500  Y 238000
X 325000  Y 245000
X 276000  Y 253500
X 264000  Y 244000
X 218250  Y 241000
X 218250  Y 251000
X 139000  Y 238000
X 124500  Y 270000
X 218250  Y 270000
X 245500  Y 270500
X 258000  Y 257000
X 259000  Y 269500
X 260500  Y 274000
X 263250  Y 264000
X 279250  Y 264000
X 287250  Y 264000
X 295250  Y 264000
X 302500  Y 271000
X 312250  Y 260000
X 369500  Y 270000
X 375000  Y 262000
X 382000  Y 264500
X 384300  Y 273500
X 390900  Y 273400
X 390900  Y 263400
X 393400  Y 258400
X 400900  Y 263400
X 403400  Y 258400
X 410900  Y 263400
X 410900  Y 273400
X 413400  Y 258400
X 423400  Y 258400
X 433400  Y 258400
X 443400  Y 258400
X 440900  Y 293400
X 410900  Y 283400
X 400900  Y 283400
X 390900  Y 293400
X 390900  Y 283400
X 390900  Y 303400
X 355500  Y 288500
X 344000  Y 294500
X 320250  Y 281000
X 292000  Y 298500
X 275250  Y 299000
X 271250  Y 301000
X 243000  Y 297000
X 242500  Y 294000
X 218250  Y 301000
X 218250  Y 280000
X 143000  Y 300000
X 132000  Y 328000
X 218250  Y 312000
X 220500  Y 308000
X 266100  Y 319000
X 274650  Y 309400
X 287250  Y 325000
X 287250  Y 309000
X 288250  Y 321000
X 301232  Y 310500
X 306232  Y 320500
X 306232  Y 315500
X 306232  Y 310500
X 306232  Y 305500
X 308250  Y 318000
X 310000  Y 328000
X 330000  Y 321500
X 347000  Y 323500
X 365500  Y 327000
X 377000  Y 313000
X 379200  Y 318500
X 390900  Y 313400
X 390900  Y 323400
X 440900  Y 343400
X 440900  Y 333400
X 430900  Y 343400
X 420900  Y 343400
X 410900  Y 343400
X 400900  Y 343400
X 390900  Y 343400
X 390900  Y 333400
X 376500  Y 349000
X 365500  Y 332000
X 363000  Y 346000
X 360600  Y 348800
X 358500  Y 349000
X 338250  Y 354000
X 311250  Y 335000
X 297000  Y 339000
X 295000  Y 337000
X 282500  Y 348000
X 276500  Y 338000
X 276000  Y 333800
X 274100  Y 335200
X 270000  Y 330000
X 218250  Y 330000
X 218250  Y 341000
X 168500  Y 339000
X 145500  Y 332500
X 116000  Y 340000
X 145500  Y 383500
X 217250  Y 401000
X 218250  Y 362000
X 218250  Y 372000
X 218250  Y 391000
X 245000  Y 366000
X 277500  Y 378000
X 286500  Y 384500
X 288000  Y 386000
X 292000  Y 363000
X 294000  Y 379500
X 296000  Y 382000
X 303500  Y 381500
X 310000  Y 356000
X 311250  Y 365000
X 313000  Y 392000
X 318800  Y 387800
X 320000  Y 390000
X 320100  Y 400400
X 322000  Y 401500
X 322000  Y 399500
X 323500  Y 392500
X 325000  Y 388500
X 325600  Y 403500
X 333900  Y 392900
X 334800  Y 387600
X 335500  Y 394000
X 336500  Y 376500
X 342000  Y 395000
X 342500  Y 385000
X 345100  Y 403100
X 350000  Y 393000
X 355500  Y 385000
X 357000  Y 396000
X 361000  Y 367500
X 376000  Y 390500
X 378500  Y 382000
X 380000  Y 389000
X 381000  Y 378000
X 381500  Y 380500
X 382000  Y 375000
X 391900  Y 401400
X 391900  Y 391400
X 391900  Y 381400
X 401400  Y 401400
X 411400  Y 381400
X 411400  Y 401400
X 411400  Y 391400
X 421400  Y 401400
X 431400  Y 401400
X 441400  Y 401400
X 441400  Y 421400
X 441400  Y 411400
X 431400  Y 421400
X 431400  Y 411400
X 421400  Y 421400
X 421400  Y 411400
X 411400  Y 421400
X 411400  Y 411400
X 401400  Y 421400
X 401400  Y 411400
X 391900  Y 411400
X 391400  Y 421400
X 360000  Y 407000
X 357000  Y 413000
X 355000  Y 413000
X 354000  Y 427900
X 353000  Y 409500
X 347560  Y 406914
X 347500  Y 425500
X 346300  Y 424000
X 346100  Y 426900
X 343500  Y 421600
X 343500  Y 423500
X 342500  Y 415000
X 342000  Y 406000
X 341600  Y 410500
X 341500  Y 421500
X 340000  Y 408600
X 339500  Y 421000
X 337400  Y 419100
X 332000  Y 426500
X 330000  Y 422500
X 328500  Y 419500
X 327500  Y 406500
X 327400  Y 410000
X 326500  Y 416000
X 326000  Y 418500
X 323000  Y 411500
X 312800  Y 415000
X 309500  Y 425000
X 300000  Y 421500
X 298500  Y 415500
X 298000  Y 412000
X 217250  Y 420000
X 148000  Y 406000
X 217250  Y 430000
X 217250  Y 451000
X 274000  Y 444500
X 313000  Y 434000
X 320000  Y 433000
X 322500  Y 443000
X 329500  Y 443000
X 331100  Y 435000
X 335000  Y 435300
X 341500  Y 433500
X 345500  Y 433000
X 348000  Y 434500
X 351900  Y 448900
X 353000  Y 432500
X 354000  Y 435000
X 356000  Y 448000
X 391400  Y 431400
X 391800  Y 451400
X 391800  Y 441400
X 401400  Y 431400
X 401400  Y 441400
X 401400  Y 451400
X 411400  Y 451400
X 411400  Y 431400
X 411400  Y 441400
X 421400  Y 431400
X 421400  Y 441400
X 421400  Y 451400
X 421799  Y 476800
X 421799  Y 496800
X 421799  Y 486800
X 411799  Y 476800
X 411799  Y 466800
X 411799  Y 496800
X 411799  Y 486800
X 401799  Y 466800
X 401799  Y 476800
X 401799  Y 496800
X 401799  Y 486800
X 392500  Y 476800
X 392500  Y 466800
X 392500  Y 496800
X 392500  Y 486800
X 369500  Y 472500
X 357500  Y 480000
X 355500  Y 492000
X 342600  Y 491000
X 260500  Y 498500
X 227250  Y 492000
X 219250  Y 500000
X 217250  Y 461000
X 208250  Y 492000
X 182250  Y 491000
X 143000  Y 459000
X 132000  Y 492000
X 139400  Y 512000
X 219250  Y 518000
X 219250  Y 528000
X 277750  Y 522000
X 342600  Y 516500
X 345500  Y 526000
X 355500  Y 505000
X 392500  Y 526800
X 392500  Y 516800
X 392500  Y 506800
X 401799  Y 516800
X 401799  Y 506800
X 401799  Y 526800
X 411799  Y 516800
X 411799  Y 506800
X 421799  Y 516800
X 421799  Y 506800
X 431799  Y 506800
X 431799  Y 516800
X 441799  Y 516800
X 441799  Y 506800
X 441799  Y 526800
X 441799  Y 576800
X 441799  Y 566800
X 431799  Y 576800
X 401799  Y 576800
X 392500  Y 536800
X 391799  Y 566800
X 390800  Y 576800
